"system","model_key","impulse","response","horizon","irf","lower","upper","status","message"
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",0,0,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",1,0.0174001383197675,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",2,0.0239876617680388,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",3,0.0241869958466394,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",4,0.0336205450076101,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",5,0.0607753477043336,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",6,0.0816775212062197,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",7,0.094871431267876,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",8,0.111861124723785,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",9,0.142054058948761,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",10,0.166270140625944,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",11,0.181999046913695,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_imports_real",12,0.197985496382973,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",0,0.0264971919343643,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",1,0.033509517947027,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",2,0.035036283483568,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",3,0.0322071871873643,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",4,0.0561527114141748,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",5,0.0657450945802095,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",6,0.0715002501251884,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",7,0.0704377642317004,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",8,0.0921788993834945,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",9,0.102185220712178,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",10,0.108857493071621,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",11,0.107047111408645,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_gdp_real",12,0.124702761988419,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",0,-0.00513044161577196,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",1,-0.0152295257347315,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",2,-0.0327238999161122,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",3,-0.0472036832876476,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",4,-0.0665132979766504,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",5,-0.0875809828863266,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",6,-0.113060851023827,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",7,-0.134772448829819,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",8,-0.158965724032382,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",9,-0.182813298500801,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",10,-0.209009241421696,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",11,-0.230362267046602,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_gdp_real","ln_itcrm",12,-0.252395042957892,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",0,0,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",1,-0.000904990759336153,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",2,-0.0152267062061124,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",3,-0.036029876812289,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",4,-0.0574113796903053,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",5,-0.0807719088744022,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",6,-0.106154178370274,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",7,-0.127291764520344,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",8,-0.141878448241393,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",9,-0.155246811243993,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",10,-0.170154447789577,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",11,-0.182035666808446,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_imports_real",12,-0.188133124464333,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",0,0,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",1,-0.00333753644108108,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",2,-0.00685702900913038,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",3,-0.00776753169278703,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",4,-0.0117587853997053,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",5,-0.0211851821478258,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",6,-0.0289997689735483,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",7,-0.0307921109177172,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",8,-0.031969620329278,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",9,-0.0370258261918624,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",10,-0.0415033839004987,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",11,-0.0411910694126481,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_gdp_real",12,-0.0398516130778529,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",0,0.053717836295273,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",1,0.112263053200032,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",2,0.16095642765827,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",3,0.197088910869195,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",4,0.227069618242463,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",5,0.255775340739251,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",6,0.283927291051952,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",7,0.309131715806345,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",8,0.329455357001371,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",9,0.345646708038484,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",10,0.359305540243748,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",11,0.370586666149089,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"imports","imports_levels_class_irf","ln_itcrm","ln_itcrm",12,0.378891766168244,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",0,0.0759411129792037,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",1,0.0346989290263676,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",2,0.0190715854889289,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",3,0.0255698887636384,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",4,0.0615723068723555,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",5,0.0286262488761336,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",6,0.019727263075561,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",7,0.02746270570992,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",8,0.0531699211571466,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",9,0.0297372235589331,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",10,0.0242668628899324,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",11,0.0296883433564087,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_exports_real",12,0.0471572868265256,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",0,0.00350636542997673,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",1,0.00350549293501232,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",2,0.00036174828030086,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",3,-0.0000882718102889525,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",4,0.000667557976398316,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",5,0.00098175705333027,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",6,0.000261792857941475,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",7,0.000522437561258831,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",8,0.000686573465898638,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",9,0.00092302021858104,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",10,0.00043921095402095,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",11,0.000612544892504184,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_pib_socios",12,0.000673188553493713,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",0,0.00975163011602368,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",1,-0.000259189667818719,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",2,-0.00163103340331423,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",3,0.00305357133670758,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",4,-0.00419177987689137,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",5,-0.00432415076452605,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",6,-0.00169675775309544,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",7,0.00330727626228833,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",8,-0.00213221373172386,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",9,-0.00271187483963765,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",10,-0.00113698705276522,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",11,0.00198740444849486,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_exports_real","d_ln_itcrm",12,-0.00202485993150925,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",0,0,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",1,0.013766451370803,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",2,0.03609124238751,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",3,0.0415200102298006,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",4,0.024290823953875,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",5,0.0148581751245872,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",6,0.0273976305024111,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",7,0.0345007940888241,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",8,0.0223135556130947,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",9,0.0167904176264853,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",10,0.0265841219341917,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",11,0.0319495661439238,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_exports_real",12,0.0234327503229246,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",0,0.0175101600965956,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",1,0.016870960433747,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",2,0.0141003657147061,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",3,0.0132456176563329,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",4,0.0131806311082905,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",5,0.0125961479306521,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",6,0.0122443238171248,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",7,0.0124586822531574,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",8,0.0126526335952373,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",9,0.0125340595527972,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",10,0.0125818408868426,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",11,0.0127238334981427,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_pib_socios",12,0.0127051528916551,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_itcrm",0,0.00376491279084367,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_itcrm",1,-0.00370307290529397,NA,NA,"ok","IRF calculada con vars::irf como en clase."
"exports","exports_var_diff_class_irf","d_ln_pib_socios","d_ln_itcrm",2,-0.0155873497414813,NA,NA,"ok","IRF calculada con vars::irf como en clase."
