"system","selected_var_lag","lag_k","selected_rank_trace_5pct","selected_rank_eigen_5pct","ecdet","spec","season","note","integration_warning"
"imports",4,4,1,0,"const","transitory",4,"Johansen se estima con el rezago VAR seleccionado por SC/BIC: K = 4 Johansen con ecdet = const, especificacion transitory y dummies estacionales trimestrales.","Todas las variables del sistema son compatibles con I(1) segun ADF formal."
"exports",1,2,1,0,"const","transitory",4,"SC/BIC selecciono 1 rezago VAR; ca.jo exige K >= 2, por lo que Johansen se estima con K = 2 Johansen con ecdet = const, especificacion transitory y dummies estacionales trimestrales.","Lectura cautelosa: exports=I(0) segun ADF formal."
"imports",4,4,1,0,"none","transitory",4,"Johansen se estima con el rezago VAR seleccionado por SC/BIC: K = 4 Johansen con ecdet = none, especificacion transitory y dummies estacionales trimestrales.","Todas las variables del sistema son compatibles con I(1) segun ADF formal."
"exports",1,2,0,0,"none","transitory",4,"SC/BIC selecciono 1 rezago VAR; ca.jo exige K >= 2, por lo que Johansen se estima con K = 2 Johansen con ecdet = none, especificacion transitory y dummies estacionales trimestrales.","Lectura cautelosa: exports=I(0) segun ADF formal."
