"system","variables","first_quarter","last_quarter","n_quarters"
"imports","ln_imports_real, ln_gdp_real, ln_itcrm","2004Q1","2022Q4",76
"exports","ln_exports_real, ln_pib_socios, ln_itcrm","2004Q1","2022Q4",76
