fecha,periodo,anio,trimestre,pib_real,importaciones_reales,exportaciones_reales,itcrm,pib_socios_indice,commodity_price_index,ln_pib_real,ln_importaciones_reales,ln_exportaciones_reales,ln_itcrm,ln_pib_socios,ln_commodity_price_index,d_ln_pib_real,d_ln_importaciones_reales,d_ln_exportaciones_reales,d_ln_itcrm,d_ln_pib_socios,d_ln_commodity_price_index,crecimiento_pib_aprox,crecimiento_importaciones_aprox,crecimiento_exportaciones_aprox,variacion_itcrm_aprox,crecimiento_pib_socios_aprox,variacion_commodities_aprox,trimestre_factor,dummy_q2,dummy_q3,dummy_q4,dummy_crisis_global,dummy_crisis_2018,dummy_covid
2004-01-01,2004 Q1,2004,1,460369.4422329487,73073.43481112685,102774.20298138498,159.01647990764744,100.00000000000004,49.420678279773334,13.039784581413727,11.199220170812348,11.540289656750701,5.069007844067138,4.605170185988092,3.9003689252694635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q1,0,0,0,0,0,0
2004-04-01,2004 Q2,2004,2,514395.6817723617,80006.3072174586,119462.27741173614,153.01975060919855,102.18431374863998,52.83770588241,13.150748057182057,11.289860750766524,11.690755930324702,5.0305670020101845,4.626778180164009,3.9672250624059697,0.11096347576832954,0.09064057995417585,0.15046627357400055,-0.03844084205695353,0.021607994175917078,0.06685613713650618,11.096347576832954,9.064057995417585,15.046627357400055,-3.844084205695353,2.160799417591708,6.685613713650618,Q2,1,0,0,0,0,0
2004-07-01,2004 Q3,2004,3,481151.9799435081,85416.07252113911,119619.17122810414,158.47096405885068,103.38192611366027,56.42361893053333,13.083938465799479,11.355289564892374,11.692068402202235,5.065571384477896,4.638430150989768,4.032887846206149,-0.0668095913825777,0.06542881412585011,0.001312471877533028,0.03500438246771154,0.011651970825758973,0.06566278380017954,-6.680959138257769,6.542881412585011,0.1312471877533028,3.5004382467711537,1.1651970825758973,6.566278380017954,Q3,0,1,0,0,0,0
2004-10-01,2004 Q4,2004,4,484543.6768765623,88375.32157266857,120898.05016710557,163.41826581826754,104.24660625061581,59.284271416773336,13.090962854601877,11.389348041921176,11.702702908822754,5.096312962091833,4.646759306198092,4.082344033330821,0.007024388802397752,0.03405847702880216,0.010634506620519346,0.030741577613937032,0.008329155208324224,0.04945618712467148,0.7024388802397752,3.405847702880216,1.0634506620519346,3.0741577613937032,0.8329155208324224,4.945618712467148,Q4,0,0,1,0,0,0
2005-01-01,2005 Q1,2005,1,493602.53057785495,84904.77744994142,119186.92694656595,162.23892937896795,105.23838524841786,63.16151641714,13.109485878338647,11.349285642211445,11.68844835433177,5.089070121385531,4.656228112538775,4.145695198236972,0.01852302373677084,-0.04006239970973091,-0.014254554490984006,-0.0072428407063016564,0.009468806340683145,0.06335116490615089,1.8523023736770838,-4.006239970973091,-1.4254554490984006,-0.7242840706301656,0.9468806340683145,6.335116490615089,Q1,0,0,0,0,0,0
2005-04-01,2005 Q2,2005,2,581668.2498796025,97288.20329605682,138217.54798367393,159.97943319646959,106.18492083195285,66.77770114220667,13.273655546802901,11.485433020290023,11.836584157534869,5.0750452644494635,4.665182110326841,4.201369209577464,0.16416966846425396,0.13614737807857757,0.1481358032030986,-0.01402485693606792,0.008953997788065493,0.05567401134049277,16.416966846425396,13.614737807857757,14.81358032030986,-1.402485693606792,0.8953997788065493,5.567401134049277,Q2,1,0,0,0,0,0
2005-07-01,2005 Q3,2005,3,514697.78950542817,96844.89303709046,135432.69307676284,160.05559952727955,105.98164030081823,76.70246437865667,13.151335190907373,11.48086593680044,11.816230065829856,5.07552125191621,4.663265874401137,4.339933837956876,-0.12232035589552837,-0.004567083489583013,-0.020354091705012678,4.759874667463748e-4,-0.0019162359257034467,0.1385646283794113,-12.232035589552837,-0.45670834895830126,-2.035409170501268,0.04759874667463748,-0.19162359257034467,13.85646283794113,Q3,0,1,0,0,0,0
2005-10-01,2005 Q4,2005,4,522255.20005077147,99636.55792383585,129550.81848020395,163.87264588585222,107.1176378170066,76.30541079280667,13.165911636383644,11.509284423655332,11.771828503841421,5.099089576676958,4.6739276493941295,4.3347438504917655,0.014576445476270905,0.028418486854892677,-0.044401561988435034,0.023568324760748105,0.010661774992992257,-0.005189987465110235,1.4576445476270905,2.8418486854892677,-4.440156198843503,2.3568324760748105,1.0661774992992257,-0.5189987465110235,Q4,0,0,1,0,0,0
2006-01-01,2006 Q1,2006,1,532348.2120169173,96613.8916394867,125801.74305657322,166.77965187721765,108.7548336711756,78.09387090280667,13.185053088076302,11.478477815653335,11.74246247892811,5.116673491339342,4.68909611653207,4.357911576209223,0.019141451692657796,-0.030806608001997304,-0.02936602491331186,0.01758391466238418,0.015168467137940844,0.02316772571745762,1.9141451692657796,-3.0806608001997304,-2.936602491331186,1.7583914662384181,1.5168467137940844,2.316772571745762,Q1,0,0,0,0,0,0
2006-04-01,2006 Q2,2006,2,614076.3926085439,101743.8617298436,141431.39484319702,166.0246105178015,109.08108161881127,85.14130918244334,13.327874617319235,11.530213774505672,11.859570036393947,5.112136033499024,4.6920914737589126,4.44431233710165,0.14282152924293356,0.05173595885233695,0.11710755746583779,-0.0045374578403185595,0.002995357226842188,0.08640076089242665,14.282152924293356,5.173595885233695,11.710755746583779,-0.45374578403185595,0.2995357226842188,8.640076089242665,Q2,1,0,0,0,0,0
