"paso","script","ruta","estado","inicio","fin","duracion_segundos","numero_advertencias","advertencias","numero_objetos_nuevos","objetos_nuevos","error"
1,"script01_carga_Datos.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script01_carga_Datos.R","OK","2026-06-23 18:20:25","2026-06-23 18:20:25",0.53,0,NA,7,"pib_brasil | pib_brasil_raw | pib_externo | pib_usa | pib_usa_raw | ruta_pib_brasil | ruta_pib_usa",NA
2,"script02_ITCRM_diario.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script02_ITCRM_diario.R","OK","2026-06-23 18:20:25","2026-06-23 18:20:27",1.25,3,"Expecting date in A10730 / R10730C1: got 'Nota: Datos provisorios sujetos a revisión.' || Expecting date in A10731 / R10731C1: got 'Fuente: INDEC, Direcciones de Estadísticas de la Ciudad Autónoma de Buenos Aires y de la Provincia de San Luis, Datastream y REM BCRA' || Expecting date in A10732 / R10732C1: got '*Promedio simple de valores de Brasil, Chile y Uruguay'",25,"columnas_itcrm_faltantes | columnas_itcrm_requeridas | columnas_ponderadores_faltantes | columnas_ponderadores_requeridas | duplicados_itcrm | duplicados_ponderadores | grafico_itcrm | hojas_disponibles | hojas_faltantes | hojas_requeridas | itcrm_diario | itcrm_diario_2004_2025 | itcrm_exportar | itcrm_raw | itcrm_trimestral | paquetes | paquetes_faltantes | ponderadores_mensuales | ponderadores_promedio_2004_2022 | ponderadores_promedio_2004_2025 | ponderadores_raw | ruta_itcrm | suma_normalizada_2004_2025 | tabla_ponderadores | valores_no_positivos",NA
3,"scrip03_ipm_ipx_pib.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/scrip03_ipm_ipx_pib.R","OK","2026-06-23 18:20:27","2026-06-23 18:20:31",4.65,0,NA,18,"anios | anios_raw | columnas_trimestrales | datos_arg_raw | datos_argentina | datos_argentina_excel | datos_argentina_long | duplicados_argentina | etiquetas_filas | etiquetas_trimestre | exportaciones_argentina | extraer_serie_argentina | grafico_datos_argentina | importaciones_argentina | pib_argentina | resumen_faltantes_argentina | ruta_comercio_arg | trimestres",NA
4,"script04_commodities.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script04_commodities.R","OK","2026-06-23 18:20:31","2026-06-23 18:20:33",1.31,0,NA,7,"commodities_excel | commodities_mensual | commodities_mensual_2004_2025 | commodities_raw | commodities_trimestral | grafico_commodities | ruta_commodities",NA
5,"script05_construcción_pib.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script05_construcción_pib.R","OK","2026-06-23 18:20:33","2026-06-23 18:20:34",1.3,0,NA,20,"grafico_pib_socios | periodo_base | pib_brasil_base | pib_socios | pib_socios_excel | pib_socios_long | pib_usa_base | ponderadores_muestra | ponderadores_pib_socios | resumen_pib_externo | ruta_pib_externo | ruta_ponderadores | tabla_ponderadores_pib_socios | valor_base_socios | variables_pib_faltantes | variables_pib_requeridas | variables_ponderadores_faltantes | variables_ponderadores_requeridas | w_brasil | w_usa",NA
6,"script06_panel.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script06_panel.R","OK","2026-06-23 18:20:34","2026-06-23 18:20:34",0.63,0,NA,44,"anio_inicio | archivos_faltantes | argentina_panel | calendario_esperado | commodities_panel | faltan_en_commodities | faltan_en_itcrm | faltan_en_socios | faltantes_argentina | faltantes_commodities | faltantes_itcrm | faltantes_socios | itcrm_panel | panel_diferencias | panel_diferencias_excel | panel_maestro | panel_maestro_excel | periodos_argentina | periodos_commodities | periodos_faltantes_panel | periodos_itcrm | periodos_socios | resumen_cobertura | resumen_panel | ruta_argentina | ruta_pib_socios | rutas_requeridas | sistema_exportaciones_ampliado_diferencias | sistema_exportaciones_ampliado_niveles | sistema_exportaciones_clasico_diferencias | sistema_exportaciones_clasico_niveles | sistema_importaciones_diferencias | sistema_importaciones_niveles | socios_panel | tabla_faltantes | trimestre_inicio | ts_diferencias | ts_niveles | variables_argentina | variables_commodities | variables_itcrm | variables_logs | variables_niveles | variables_socios",NA
7,"script07_estacionalidad.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script07_estacionalidad.R","OK","2026-06-23 18:20:34","2026-06-23 18:20:44",9.39,0,NA,26,"base_correlaciones | calcular_descriptivos | diccionario_series | grafico_estacionalidad | grafico_exportaciones | grafico_importaciones | grafico_indices_base | grafico_series_diferencias | grafico_series_logs | grafico_series_niveles | matriz_correlaciones | prueba_estacionalidad | ruta_panel | series_diferencias_long | series_indice_base | series_logs_long | series_niveles_long | tabla_cobertura_descriptiva | tabla_correlaciones | tabla_descriptivos_completa | tabla_descriptivos_diferencias | tabla_descriptivos_logs | tabla_descriptivos_niveles | tabla_estacionalidad | variables_faltantes | variables_requeridas",NA
8,"script08_raices_unitarias.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script08_raices_unitarias.R","OK","2026-06-23 18:20:44","2026-06-23 18:20:53",9.51,0,NA,38,"clave_i | config_series | contador_adf | control_adf | criterio_i | criterios_rezagos | ejecutar_adf_docente | ejecutar_ocsb | encabezado_i | especificacion_i | especificaciones_adf | etiqueta_i | faltantes_en_diferencias | faltantes_en_niveles | i | inicio_ts | lista_resultados_adf | lista_resultados_ocsb | ocsb_con_error | ocsb_exitosos | resultado_ejecucion | resultado_i | resultados_adf | resultados_ocsb | robustez_adf | ruta_adf_curso | rutas_adf_existentes | rutas_posibles_adf | salida_adf_docente | serie_i | series_diferencias | series_niveles | tabla_adf_principal | tabla_control_ts | tabla_final_raices | tabla_informe_raices | tabla_orden_integracion | Test.ADF.Ver.3",NA
9,"script09_engle_grenger.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script09_engle_grenger.R","OK","2026-06-23 18:20:53","2026-06-23 18:20:57",3.78,0,NA,77,"adf_residual_engle_granger | ajustar_modelo_dinamico | ajuste_ecm | ajuste_wb | buscar_criticos_eg | calcular_ratio_largo_plazo | clave_modelo | coeficientes_diferencias | coeficientes_ecm | coeficientes_eg | coeficientes_wb | comparacion_largo_plazo | comparacion_modelos_corto_plazo | configuracion_excel | contador_eg | contador_modelos | contador_wb | crear_formula | decision_cointegracion | decision_eg_integral | denominador | dependent_i | diagnosticos_diferencias | diagnosticos_ecm | diagnosticos_lm | diagnosticos_todos | diagnosticos_wb | elasticidades_corto_plazo | elasticidades_corto_plazo_diferencias | elasticidades_corto_plazo_ecm | elasticidades_largo_plazo_eg | elasticidades_largo_plazo_wb | elasticidades_wb | especificaciones | estimar_engle_granger | extraer_coeftest | fit_i | grafico_elasticidades | grafico_residuos_eg | lag_i | max_lag_dinamico | model_key_i | modelos_eg | nombre_diferencia | nombre_ecm | nombre_residuo | obtener_p_value | panel_modelos | residuos_eg | residuos_eg_baseline | resultados_diferencias | resultados_ecm | resultados_eg | resultados_wb | resumen_diferencias | resumen_ecm | resumen_eg | resumen_lm | resumen_wb | seasonal_i | seleccion_lags_diferencias | seleccion_lags_ecm | seleccion_lags_eg | seleccion_lags_wb | spec_i | tabla_criticos_eg | tabla_lag_dependiente | tabla_terminos_ecm | tests_eg | variable_i | variables_corto_plazo | variables_diferencia | variables_largo_plazo | variables_nivel | vcov_i | x1_i | x2_i",NA
10,"script10_seleccion_diagnosticos.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script10_seleccion_diagnosticos.R","OK","2026-06-23 18:20:57","2026-06-23 18:21:04",7.1,0,NA,104,"ajuste_i | arch_resumen | bg_i | candidatos_limpios_johansen | clave_candidata | clave_final | config_sistemas | config_sistemas_excel | config_variantes | contador_diagnosticos | contador_exclusion | contador_ic | contador_normalidad | contador_raices | contador_seleccion | contador_vcorr | contador_white | crear_clave_modelo | crear_matriz_ts | criterios_ic | datos_grafico_vcorr | datos_i | datos_sistemas | diagnosticos_i | diagnosticos_importaciones_variantes | diagnosticos_k_definitivo | diagnosticos_rezagos_johansen | ejecutar_normalidad_arch | ejecutar_varselect | ejecutar_vcorr_ordenado | ejecutar_white_auxiliar | encabezado | endogenous_i | estimar_var | exclusion_impresa | exclusion_joint | exclusion_lag_mayor | exclusion_lags | exogenous_i | funciones_no_cargadas | funciones_requeridas | grafico_raices | grafico_vcorr | insumos_johansen | insumos_johansen_final | j | lag_correlacion_objetivo | lags_arch | lista_criterios_ic | lista_diagnosticos_candidatos | lista_exclusion | lista_normalidad_arch | lista_raices | lista_seleccion_final | lista_selecciones_ic | lista_vcorr | lista_white | localizar_archivo_funcion | max_lag_var | max_raices | max_raiz_i | model_label_i | modelo_i | modelos_var_candidatos | modelos_var_finales | nivel_significancia | normalidad_arch_final | normalidad_jb | ordenar_exclusion_lags | ordenar_varselect | ordenes_johansen_definitivos | p_i | print.VAR_lag_exclusion_wald | print.VAR_white_no_cross | pt_i | raices_finales | raices_i | resumen_final_var | resumen_modelo | ruta_exclusion | ruta_vcorr | ruta_white | salida_texto_var | season_i | seleccion_final | seleccion_i | seleccion_ic_i | seleccion_ordenada | seleccionar_orden_var | selecciones_ic | tabla_control_sistemas | test_serial_seguro | tipo_i | VAR_lag_exclusion_wald | VAR_white_no_cross | variables_numericas | variant_i | vcorr_final | vcorr_res | vcorr_revision | white_final | white_resumen | x_i | y_i",NA
