"paso","script","ruta","estado","inicio","fin","duracion_segundos","numero_advertencias","advertencias","numero_objetos_nuevos","objetos_nuevos","error"
1,"script01_load_data.R","C:/Users/julla/GitHub/applied-time-series-econometrics/trade-elasticities-var-vec/report_draft_a/scripts/pipeline_steps/script01_load_data.R","OK","2026-07-07 09:57:47","2026-07-07 09:57:47",0.79,0,NA,7,"pib_brasil | pib_brasil_raw | pib_externo | pib_usa | pib_usa_raw | ruta_pib_brasil | ruta_pib_usa",NA
2,"script02_daily_itcrm.R","C:/Users/julla/GitHub/applied-time-series-econometrics/trade-elasticities-var-vec/report_draft_a/scripts/pipeline_steps/script02_daily_itcrm.R","OK","2026-07-07 09:57:47","2026-07-07 09:57:49",2.13,3,"Expecting date in A10730 / R10730C1: got 'Nota: Datos provisorios sujetos a revisión.' || Expecting date in A10731 / R10731C1: got 'Fuente: INDEC, Direcciones de Estadísticas de la Ciudad Autónoma de Buenos Aires y de la Provincia de San Luis, Datastream y REM BCRA' || Expecting date in A10732 / R10732C1: got '*Promedio simple de valores de Brasil, Chile y Uruguay'",25,"columnas_itcrm_faltantes | columnas_itcrm_requeridas | columnas_ponderadores_faltantes | columnas_ponderadores_requeridas | duplicados_itcrm | duplicados_ponderadores | grafico_itcrm | hojas_disponibles | hojas_faltantes | hojas_requeridas | itcrm_diario | itcrm_diario_2004_2025 | itcrm_exportar | itcrm_raw | itcrm_trimestral | paquetes | paquetes_faltantes | ponderadores_mensuales | ponderadores_promedio_2004_2022 | ponderadores_promedio_2004_2025 | ponderadores_raw | ruta_itcrm | suma_normalizada_2004_2025 | tabla_ponderadores | valores_no_positivos",NA
3,"script03_ipm_ipx_gdp.R","C:/Users/julla/GitHub/applied-time-series-econometrics/trade-elasticities-var-vec/report_draft_a/scripts/pipeline_steps/script03_ipm_ipx_gdp.R","ERROR","2026-07-07 09:57:49","2026-07-07 09:57:56",6.78,0,NA,13,"anios | anios_raw | columnas_trimestrales | datos_arg_raw | datos_argentina | etiquetas_filas | etiquetas_trimestre | exportaciones_argentina | extraer_serie_argentina | importaciones_argentina | pib_argentina | ruta_comercio_arg | trimestres","unused arguments (fecha, periodo, periodo_label, anio, trimestre, pib_real, importaciones_reales, exportaciones_reales)"
