"paso","script","ruta","estado","inicio","fin","duracion_segundos","numero_advertencias","advertencias","numero_objetos_nuevos","objetos_nuevos","error"
1,"script01_carga_Datos.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script01_carga_Datos.R","OK","2026-06-23 17:53:12","2026-06-23 17:53:13",0.4,0,NA,7,"pib_brasil | pib_brasil_raw | pib_externo | pib_usa | pib_usa_raw | ruta_pib_brasil | ruta_pib_usa",NA
2,"script02_ITCRM_diario.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script02_ITCRM_diario.R","OK","2026-06-23 17:53:13","2026-06-23 17:53:15",2.44,18,"Expecting date in A10730 / R10730C1: got 'Nota: Datos provisorios sujetos a revisión.' || Expecting date in A10731 / R10731C1: got 'Fuente: INDEC, Direcciones de Estadísticas de la Ciudad Autónoma de Buenos Aires y de la Provincia de San Luis, Datastream y REM BCRA' || Expecting date in A10732 / R10732C1: got '*Promedio simple de valores de Brasil, Chile y Uruguay' || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""fecha""` instead of `.data$fecha`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""periodo""` instead of `.data$periodo`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""periodo_label""` instead of
  `.data$periodo_label`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""anio""` instead of `.data$anio`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""trimestre""` instead of `.data$trimestre`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""itcrm""` instead of `.data$itcrm`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""ln_itcrm""` instead of `.data$ln_itcrm`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""observaciones_diarias""` instead of
  `.data$observaciones_diarias`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""fecha_inicial""` instead of
  `.data$fecha_inicial`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""fecha_final""` instead of `.data$fecha_final`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""periodo_calculo""` instead of
  `.data$periodo_calculo`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""ponderador_brasil_original""` instead of
  `.data$ponderador_brasil_original`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""ponderador_usa_original""` instead of
  `.data$ponderador_usa_original`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""ponderador_brasil_normalizado""` instead of
  `.data$ponderador_brasil_normalizado`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated. || Use of .data in tidyselect expressions was deprecated in
tidyselect 1.2.0.
ℹ Please use `""ponderador_usa_normalizado""` instead of
  `.data$ponderador_usa_normalizado`
This warning is displayed once every 8 hours.
Call `lifecycle::last_lifecycle_warnings()` to see where this
warning was generated.",25,"columnas_itcrm_faltantes | columnas_itcrm_requeridas | columnas_ponderadores_faltantes | columnas_ponderadores_requeridas | duplicados_itcrm | duplicados_ponderadores | grafico_itcrm | hojas_disponibles | hojas_faltantes | hojas_requeridas | itcrm_diario | itcrm_diario_2004_2025 | itcrm_exportar | itcrm_raw | itcrm_trimestral | paquetes | paquetes_faltantes | ponderadores_mensuales | ponderadores_promedio_2004_2022 | ponderadores_promedio_2004_2025 | ponderadores_raw | ruta_itcrm | suma_normalizada_2004_2025 | tabla_ponderadores | valores_no_positivos",NA
3,"scrip03_ipm_ipx_pib.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/scrip03_ipm_ipx_pib.R","OK","2026-06-23 17:53:15","2026-06-23 17:53:20",4.49,0,NA,18,"anios | anios_raw | columnas_trimestrales | datos_arg_raw | datos_argentina | datos_argentina_excel | datos_argentina_long | duplicados_argentina | etiquetas_filas | etiquetas_trimestre | exportaciones_argentina | extraer_serie_argentina | grafico_datos_argentina | importaciones_argentina | pib_argentina | resumen_faltantes_argentina | ruta_comercio_arg | trimestres",NA
4,"script04_commodities.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script04_commodities.R","OK","2026-06-23 17:53:20","2026-06-23 17:53:21",1.3,0,NA,7,"commodities_excel | commodities_mensual | commodities_mensual_2004_2025 | commodities_raw | commodities_trimestral | grafico_commodities | ruta_commodities",NA
5,"script05_construcción_pib.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script05_construcción_pib.R","OK","2026-06-23 17:53:21","2026-06-23 17:53:22",1.1,0,NA,20,"grafico_pib_socios | periodo_base | pib_brasil_base | pib_socios | pib_socios_excel | pib_socios_long | pib_usa_base | ponderadores_muestra | ponderadores_pib_socios | resumen_pib_externo | ruta_pib_externo | ruta_ponderadores | tabla_ponderadores_pib_socios | valor_base_socios | variables_pib_faltantes | variables_pib_requeridas | variables_ponderadores_faltantes | variables_ponderadores_requeridas | w_brasil | w_usa",NA
6,"script06_panel.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script06_panel.R","ERROR","2026-06-23 17:53:22","2026-06-23 17:53:22",0.01,0,NA,0,NA,"attempt to use zero-length variable name"
