paso,script,advertencias,frecuencia
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""exogenous_johansen""` instead of `.data$exogenous_johansen` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""highest_lag_joint_p_value""` instead of `.data$highest_lag_joint_p_value` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""highest_lag_joint_statistic""` instead of `.data$highest_lag_joint_statistic` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""highest_lag_significant_10pct""` instead of `.data$highest_lag_significant_10pct` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""interpretation_role""` instead of `.data$interpretation_role` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""johansen_role""` instead of `.data$johansen_role` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""johansen_validity""` instead of `.data$johansen_validity` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""lag_label""` instead of `.data$lag_label` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""lag_number""` instead of `.data$lag_number` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""limpio_10pct""` instead of `.data$limpio_10pct` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""main_variant""` instead of `.data$main_variant` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""maximum_root_modulus""` instead of `.data$maximum_root_modulus` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""maximum_root_modulus_final""` instead of `.data$maximum_root_modulus_final` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
