"paso","script","ruta","estado","inicio","fin","duracion_segundos","numero_advertencias","advertencias","error"
1,"script01_carga_Datos.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script01_carga_Datos.R","OK","2026-06-23 17:30:51","2026-06-23 17:30:53",1.37,7,"package ‘tidyverse’ was built under R version 4.3.3 || package ‘ggplot2’ was built under R version 4.3.3 || package ‘tidyr’ was built under R version 4.3.3 || package ‘readr’ was built under R version 4.3.3 || package ‘purrr’ was built under R version 4.3.2 || package ‘readxl’ was built under R version 4.3.3 || package ‘janitor’ was built under R version 4.3.3",NA
2,"script02_ITCRM_diario.R","C:/Users/andre/Desktop/TP3_Series_Tiempo/scripts/script02_ITCRM_diario.R","ERROR","2026-06-23 17:30:53","2026-06-23 17:30:54",1.36,3,"Expecting date in A10730 / R10730C1: got 'Nota: Datos provisorios sujetos a revisión.' || Expecting date in A10731 / R10731C1: got 'Fuente: INDEC, Direcciones de Estadísticas de la Ciudad Autónoma de Buenos Aires y de la Provincia de San Luis, Datastream y REM BCRA' || Expecting date in A10732 / R10732C1: got '*Promedio simple de valores de Brasil, Chile y Uruguay'","object 'diagnosticos_candidatos' not found"
