"system","model_key","variable","engle_granger_term","wickens_breusch_level_term","engle_granger_estimate","wickens_breusch_estimate","adjustment_coefficient","sign_consistency","relative_difference_percent","n_obs","first_quarter","last_quarter","status","message"
"imports","imports_wickens_breusch","PIB","ln_gdp_real","l1_ln_gdp_real",1.51840843099458,2.09675403467767,-0.569547281147921,"mismo signo",38.0889352217486,75,"2004Q2","2022Q4","ok","Elasticidades Wickens-Breusch calculadas desde ECM no restringido: -coeficiente de nivel explicativo rezagado dividido por coeficiente de variable dependiente rezagada."
"imports","imports_wickens_breusch","TCR","ln_itcrm","l1_ln_itcrm",-0.399193203690215,-0.108836787817455,-0.569547281147921,"mismo signo",72.735811428815,75,"2004Q2","2022Q4","ok","Elasticidades Wickens-Breusch calculadas desde ECM no restringido: -coeficiente de nivel explicativo rezagado dividido por coeficiente de variable dependiente rezagada."
"exports","exports_wickens_breusch","PIB socios","ln_pib_socios","l1_ln_pib_socios",0.720320971254635,0.651319337874033,-0.718264969310106,"mismo signo",-9.57928980748922,75,"2004Q2","2022Q4","indicative","Elasticidades Wickens-Breusch calculadas con fines indicativos, segun consigna TP3, aunque Engle-Granger no respalda cointegracion para exportaciones."
"exports","exports_wickens_breusch","TCR","ln_itcrm","l1_ln_itcrm",0.159388539916543,0.18176872031133,-0.718264969310106,"mismo signo",14.0412732348927,75,"2004Q2","2022Q4","indicative","Elasticidades Wickens-Breusch calculadas con fines indicativos, segun consigna TP3, aunque Engle-Granger no respalda cointegracion para exportaciones."
"exports_augmented","exports_augmented_wickens_breusch","PIB socios","ln_pib_socios","l1_ln_pib_socios",0.3550719556469,0.339224013421105,-0.791338958771517,"mismo signo",-4.46330440175748,75,"2004Q2","2022Q4","robustness","Robustez Wickens-Breusch para exportaciones ampliadas; commodities se interpreta como control externo."
"exports_augmented","exports_augmented_wickens_breusch","TCR","ln_itcrm","l1_ln_itcrm",0.0495686098936282,0.0797156567591508,-0.791338958771517,"mismo signo",60.8188265319862,75,"2004Q2","2022Q4","robustness","Robustez Wickens-Breusch para exportaciones ampliadas; commodities se interpreta como control externo."
"exports_augmented","exports_augmented_wickens_breusch","Commodities","ln_commodity_price_index","l1_ln_commodity_price_index",0.15521476846294,0.139436604784794,-0.791338958771517,"mismo signo",-10.1653752631878,75,"2004Q2","2022Q4","robustness","Robustez Wickens-Breusch para exportaciones ampliadas; commodities se interpreta como control externo."
