"system","model_key","response","shock","horizon","share","status","message"
"exports","exports_var_diff_class_fevd","d_ln_exports_real","d_ln_itcrm",12,0.0963990119941662,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",1,0.0385531099547122,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",2,0.0375962552006757,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",3,0.0641459086019535,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",4,0.0643776322561126,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",5,0.0656645652785732,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",6,0.0658578330913285,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",7,0.0672151016070205,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",8,0.0673824113778619,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",9,0.0674400486330313,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",10,0.0675743704045565,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",11,0.0681950890021261,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_exports_real",12,0.0682708017609883,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",1,0.961446890045288,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",2,0.938833959122761,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",3,0.910197160277288,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",4,0.90732068506628,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",5,0.90243517824255,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",6,0.9021909548814,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",7,0.900886299997501,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",8,0.900663995137165,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",9,0.900515335532997,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",10,0.900222205352101,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",11,0.899620172917638,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_pib_socios",12,0.899548132237947,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",1,0,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",2,0.0235697856765631,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",3,0.0256569311207584,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",4,0.0283016826776074,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",5,0.0319002564788772,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",6,0.0319512120272719,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",7,0.0318985983954783,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",8,0.0319535934849737,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",9,0.0320446158339716,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",10,0.0322034242433431,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
